艾
爱
哀
温 JIAO
教 JIAO
缴 JIAO
角 JIAO
胶 JIAO 
姣 JIAO
徼 jiao
角里 JIAO
敫 jiao
皎 JIAO 
郊尹 JIAO
郊 JIAO
交 JIAO
蕉 JIAO
楶 jie 
杰恩 JIE
芥川 JIE
戒 JIE
竭 JIE
捷 JIE 
姐 JIE
结 JIE
洁 JIE
杰 JIE
截 JIE 
节 JIE
接 JIE
介 JIE
揭 JIE
丌官 JIGUAN 
妗 JIN
晋楚 JIN
津 JIN
进 JIN
晋 JIN 
靳 JIN
金 JIN
近 JIN
禁 JIN
巾 JIN 
卺 jin
缙 JIN
荩 jin
緒 JIN
今 JIN 
維 JIN
金城 JIN
練 JIN
井田 JING
竞 JING 
井上 JING
京兆 JING
京相 JING
精纵 JING
精 JING 
京 JING
靖 JING
敬 JING
井 JING
荆 JING 
经 JING
景 JING
京城 JING
经孙 JING
镜 JING 
静 JING
竟 JING
晶 JING
净 JING
璟甌 JINGOU 
九 JIU
玖 JIU
旧 JIU
鹫 jiu
九百 JIU 
久 JIU
韭 JIU
臼 JIU
阄 jiu
桕 jiu 
舅 JIU
酒 JIU
咎 JIU
纠 JIU
九方 JIU 
就 JIU
氿 jiu
帺?JU
沮 JU
苴 JU 
苣 JU
举 JU
沮渠 JU
雎 JU
局 JU 
剧 JU
具 JU
俱 JU
琚 JU
巨 JU 
居 JU
鞠 JU
菊 JU
車 JU
簏句 JU 
具封 JU
句龙 JU
巨剑 JU
隽 JUAN
娟 JUAN 
堀 JUE
觉 JUE
觉尔察 JUE ER CHA
君 JUN
菌 JUN 
峻 JUN
俊 JUN
郡 JUN
骏马 JUN
军 JUN 
竣 JUN
均 JUN
巨毋 JUWU 
咖 KA
喀尔喀 KA 卡 KA
开 KAI
凯 KAI
堪 KAN
看 KAN 
霭 KAN
阚 KAN
侃 kan
勘 KAN
坎 KAN 
邟 KANG
伉 kang
坑 KANG
康 KANG
抗 KANG 
亢 KANG
靠 KAO
考 KAO
柯熙 KE
科 KE 
克 KE
可 KE
柯 KE
可朱浑 KE
空同 KONG 
孔 KONG
空 KONG
空桑 KONG
口 KOU
寇 KOU 
蔻 KOU
寇丘 KOU
窟贺 KU
哭 KU
库 KU 
枯 KU
苦 KU
苦成 KU
库雅喇 KU YA LA
蒯 KUAI 
块 KUAI
宽 KUAN
匡 KUANG
况 KUANG
邝 KUANG 
旷 KUANG
鄺 kuang4
逵 kui
駒 KUI
繼 KUI 
夔 KUI
奎 KUI
魁 KUI
蒉 KUI
葵 KUI 
繻 KUI
髡 KūN
宮 kung
桰 kuo
蛞 kuo 
廓 KUO
阔 KUO 
2006-3-15 23:08 奕辰
腊 LA
剌 LA
拉 LA
辣 LA
賴 LAI
赖 LAI
巴佳剌 LAI
郲 LAI 
來 LAI
蓝馨 LAN
蓝 LAN
婪 LAN
兰 LAN 
拦 LAN
篮 LAN
兰顿 LAN
岚 lan
蓝雨 LAN 
稂 LANG
琅琊 LANG
琅 LANG
朗 LANG
郎 LANG 
狼 LANG
浪 LANG
曩 LANG
兰帕尔 LANPAER
姥 LAO 
勞 LAO
劳 LAO
老 LAO
醪 lao
嫪 LàO 
拉万 LAWAN
乐王 LE
勒 LE
类 LEI
累 LEI 
磊 LEI
雷 LEI
蕾 LEI
冷 LENG
利 LI 
厉 LI
郦 LI
李 LI
黎 LI
栗 LI 
励 LI
礼 LI
离 LI
里 LI
劦 LI 
历 LI
理 LI
理想 LI
立 LI
犁 LI 
狸 LI
里安 LI
荔 LI
俪 li
俚 li 
李黄 LI
零 LI
叱李 LI
力 LI
溧 li 
丽 LI
隶 LI
绮里 LI
立如 LI
厲 li 
羅 LI
荔非 LI
骊 LI
醴丞 LI
栎 Lì 
炼 LIAN
連 lian
联 LIAN
练 LIAN
廉 LIAN 
连 LIAN
楝 LIAN
莲 LIAN
綦连 LIAN
恋 LIAN 
梁林 LIANG
粱 LIANG
谅 LIANG
良 LIANG
梁丘 LIANG QIU 
廖 LIAO
了 LIAO
寥 LIAO
辽 LIAO
聊 LIAO 
列御 LIE
叱列 LIE
烈 LIE
劣 LIE
列 LIE 
